Date,국고채 3년,국고채 5년,국고채 10년
2003-09-30,4.25,4.46,4.77
2003-10-31,4.28,4.53,4.87
2003-11-30,4.77,5.08,5.35
2003-12-31,4.87,5.13,5.43
2004-01-31,4.88,5.16,5.42
2004-02-29,4.83,5.13,5.43
2004-03-31,4.58,4.88,5.26
2004-04-30,4.54,4.88,5.25
2004-05-31,4.39,4.75,5.16
2004-06-30,4.28,4.58,5.01
2004-07-31,4.19,4.47,4.88
2004-08-31,3.82,4.01,4.33
2004-09-30,3.59,3.75,4.14
2004-10-31,3.54,3.67,4.05
2004-11-30,3.42,3.53,3.96
2004-12-31,3.28,3.39,3.85
2005-01-31,3.65,3.89,4.42
2005-02-28,4.19,4.47,4.88
2005-03-31,4.04,4.29,4.77
2005-04-30,3.86,4.11,4.69
2005-05-31,3.71,3.89,4.42
2005-06-30,3.79,3.97,4.46
2005-07-31,4.12,4.39,4.89
2005-08-31,4.33,4.67,5.08
2005-09-30,4.52,4.81,5.15
2005-10-31,4.81,5.06,5.36
2005-11-30,5.1,5.39,5.68
2005-12-31,5.06,5.33,5.6
2006-01-31,5.02,5.29,5.58
2006-02-28,4.87,5.03,5.28
2006-03-31,4.93,5.13,5.42
2006-04-30,4.95,5.16,5.45
2006-05-31,4.78,4.93,5.2
2006-06-30,4.89,5.03,5.25
2006-07-31,4.89,5,5.16
2006-08-31,4.77,4.83,4.94
2006-09-30,4.69,4.76,4.89
2006-10-31,4.62,4.67,4.79
2006-11-30,4.72,4.79,4.91
2006-12-31,4.82,4.88,4.95
2007-01-31,4.97,5,5.04
2007-02-28,4.91,4.94,5.01
2007-03-31,4.79,4.82,4.94
2007-04-30,4.94,4.96,5.07
2007-05-31,5.1,5.13,5.22
2007-06-30,5.24,5.35,5.48
2007-07-31,5.35,5.43,5.52
2007-08-31,5.28,5.33,5.42
2007-09-30,5.39,5.44,5.52
2007-10-31,5.42,5.49,5.56
2007-11-30,5.54,5.59,5.61
2007-12-31,5.89,5.9,5.82
2008-01-31,5.44,5.51,5.56
2008-02-29,5.06,5.14,5.28
2008-03-31,5.15,5.2,5.36
2008-04-30,4.98,5.02,5.17
2008-05-31,5.28,5.36,5.5
2008-06-30,5.7,5.8,5.89
2008-07-31,5.96,6.02,6.03
2008-08-31,5.77,5.83,5.91
2008-09-30,5.81,5.86,5.99
2008-10-31,5.09,5.16,5.53
2008-11-30,4.97,5.17,5.73
2008-12-31,3.97,4.3,4.87
2009-01-31,3.44,3.97,4.42
2009-02-28,3.78,4.6,5.24
2009-03-31,3.69,4.49,4.97
