date,rate
2003-09-30,1150.2 
2003-10-31,1177.3 
2003-11-30,1202.6 
2003-12-31,1197.8 
2004-01-31,1173.6 
2004-02-29,1174.5 
2004-03-31,1153.6 
2004-04-30,1167.7 
2004-05-31,1165.7 
2004-06-30,1152.5 
2004-07-31,1168.3 
2004-08-31,1153.8 
2004-09-30,1147.9 
2004-10-31,1126.0 
2004-11-30,1047.9 
2004-12-31,1043.8 
2005-01-31,1026.4 
2005-02-28,1008.1 
2005-03-31,1024.3 
2005-04-30,1002.5 
2005-05-31,1002.5 
2005-06-30,1024.4 
2005-07-31,1028.3 
2005-08-31,1031.0 
2005-09-30,1038.0 
2005-10-31,1042.7 
2005-11-30,1036.3 
2005-12-31,1013.0 
2006-01-31,971.0 
2006-02-28,969.0 
2006-03-31,975.9 
2006-04-30,945.7 
2006-05-31,947.4 
2006-06-30,960.3 
2006-07-31,953.1 
2006-08-31,959.6 
2006-09-30,945.2 
2006-10-31,944.2 
2006-11-30,929.9 
2006-12-31,929.6 
2007-01-31,940.9 
2007-02-28,938.3 
2007-03-31,940.3 
2007-04-30,929.4 
2007-05-31,929.9 
2007-06-30,926.8 
2007-07-31,923.2 
2007-08-31,939.9 
2007-09-30,920.7 
2007-10-31,907.4 
2007-11-30,929.6 
2007-12-31,938.2 
2008-01-31,943.9 
2008-02-29,937.3 
2008-03-31,991.7 
2008-04-30,999.7 
2008-05-31,1031.4 
2008-06-30,1043.4 
2008-07-31,1008.5 
2008-08-31,1081.8 
2008-09-30,1187.7 
2008-10-31,1291.4 
2008-11-30,1482.7 
2008-12-31,1257.5 
2009-01-31,1368.5 
2009-02-28,1516.4 
2009-03-31,1377.1 
2009-04-30,1348.0 
2009-05-31,1272.9 
2009-06-30,1284.7 
2009-07-31,1240.5 
2009-08-31,1244.9 
2009-09-30,1188.7 
2009-10-31,1200.6 
2009-11-30,1167.4 
2009-12-31,1167.6 
2010-01-31,1156.5 
2010-02-28,1158.4 
2010-03-31,1130.8 
2010-04-30,1115.5 
2010-05-31,1200.2 
2010-06-30,1210.3 
